Generation,Time Seconds,Best Fitness,Avg Fitness,Best Speed,Average Speed,Best Vision,Average Vision,Best Age,Average Age,Best Food Eaten,Average Food Eaten
71,1493.0,209.7,93.97,4.22,4.06,237.32,225.33,1493.0,699.91,10,3.53
72,1432.67,216.65,91.92,4.21,4.03,235.48,225.2,1432.67,694.47,10,3.46
73,2241.67,298.92,94.49,4.29,4.05,238.51,228.01,2241.67,719.0,13,3.41
74,2429.67,377.61,95.0,4.28,4.06,240.56,226.9,2429.67,726.22,19,3.46
75,2628.67,366.81,93.24,4.37,4.11,243.72,231.61,2628.67,705.9,15,3.38
76,1394.0,216.08,94.44,4.46,4.14,248.72,234.77,1394.0,716.52,10,3.45
77,1798.0,264.85,91.73,4.48,4.17,250.2,236.6,1798.0,675.87,14,3.41
78,2908.33,522.11,97.25,4.5,4.21,252.31,236.8,2908.33,715.61,27,3.58
79,2055.67,339.63,95.69,4.55,4.3,253.33,240.18,2055.67,689.13,16,3.51
80,1780.0,320.01,94.0,4.57,4.33,253.87,241.26,1780.0,664.17,17,3.5
81,2019.33,333.74,100.68,4.63,4.37,255.42,242.93,2019.33,718.69,17,3.66
82,2150.0,365.16,101.3,4.6,4.31,253.07,240.67,2150.0,727.8,19,3.75
83,2045.33,279.66,100.5,4.63,4.31,253.81,239.34,2045.33,737.58,13,3.52
84,2907.33,405.41,101.72,4.64,4.26,254.99,237.61,2873.0,753.52,16,3.6
85,2594.0,388.91,104.59,4.63,4.38,258.41,240.73,2594.0,764.2,18,3.69
86,1570.67,262.46,101.12,4.67,4.4,260.02,241.45,1570.67,740.95,12,3.53
87,3283.67,520.05,101.93,4.72,4.57,256.57,247.14,3283.67,706.28,27,3.58
88,1717.67,269.5,99.75,4.74,4.59,261.56,250.46,1717.67,692.75,12,3.49
89,1512.33,296.91,100.98,4.72,4.57,261.91,250.38,1512.33,701.83,16,3.55
90,1377.33,253.94,95.47,4.77,4.6,266.77,254.72,1377.33,652.7,14,3.37
91,1570.0,263.17,95.17,4.74,4.58,261.68,252.7,1570.0,654.24,12,3.34
92,1597.67,254.55,103.89,4.79,4.63,259.67,252.24,1597.67,725.79,12,3.57
93,1842.67,322.29,102.54,4.82,4.65,262.67,252.13,1842.67,712.79,16,3.59
94,2578.0,409.7,102.28,4.8,4.64,263.84,251.25,2578.0,708.24,18,3.58
95,1506.0,246.99,104.36,4.78,4.62,262.26,249.1,1506.0,734.13,14,3.6
96,1630.0,265.57,103.75,4.83,4.63,255.9,246.57,1630.0,707.29,13,3.72
97,1404.67,228.14,102.23,4.89,4.68,260.75,249.1,1404.67,690.68,10,3.68
98,1462.33,252.86,98.94,4.81,4.66,256.93,248.73,1462.33,664.39,13,3.56
99,2210.67,381.29,100.57,4.86,4.74,258.95,249.07,2210.67,681.39,18,3.46
100,1692.33,296.41,102.91,4.94,4.75,257.18,246.42,1692.33,681.94,15,3.66
101,2054.67,279.85,101.56,5.02,4.78,258.63,247.46,1780.0,664.28,12,3.64
102,1540.33,258.96,97.56,4.94,4.76,259.63,245.7,1540.33,629.82,11,3.51
103,1469.0,235.1,102.01,4.99,4.86,253.65,244.48,1469.0,661.5,10,3.55
104,1524.33,266.39,105.62,5.06,4.93,251.31,246.1,1524.33,674.15,12,3.66
105,1494.0,258.39,98.79,5.09,4.91,254.93,246.77,1494.0,640.02,12,3.34
106,2006.67,339.11,103.35,5.11,4.96,254.07,245.14,2006.67,654.91,17,3.56
107,1372.0,254.07,102.26,5.15,4.98,254.16,246.82,1372.0,656.06,12,3.48
108,2067.67,347.97,104.43,5.15,4.96,255.08,245.05,2067.67,664.37,15,3.66
109,5057.0,1081.39,126.28,5.15,4.91,253.05,243.12,5057.0,780.54,61,4.74
110,1998.33,348.45,107.4,5.23,4.92,253.85,246.43,1998.33,698.4,16,3.66
111,1254.67,240.55,98.98,5.22,4.92,255.29,246.39,1254.67,648.78,11,3.27
112,1691.0,307.94,105.92,5.3,5.01,255.71,249.02,1691.0,675.76,13,3.59
113,2204.33,449.41,110.48,5.34,5.1,254.42,246.79,2204.33,704.93,22,3.65
114,1914.67,367.01,109.66,5.38,5.13,256.01,248.91,1914.67,698.72,17,3.56
115,1724.0,265.23,102.15,5.37,5.23,257.98,251.6,1724.0,614.0,11,3.53
116,1482.67,276.65,103.14,5.46,5.29,261.87,251.77,1482.67,614.54,12,3.59
117,1548.33,317.07,102.36,5.55,5.35,265.02,253.96,1548.33,601.14,15,3.56
118,1487.0,254.9,102.12,5.62,5.34,267.13,256.06,1487.0,594.72,11,3.64
119,1257.0,247.82,100.2,5.64,5.33,268.59,257.06,1257.0,585.89,11,3.5
120,1326.0,244.32,102.5,5.74,5.38,270.85,258.12,1326.0,598.43,12,3.61
121,1860.33,372.35,99.82,5.65,5.35,267.11,257.21,1860.33,586.29,18,3.51
122,2153.67,380.27,100.91,5.67,5.3,269.25,259.39,2153.67,601.53,16,3.54
123,2024.33,393.12,105.66,5.62,5.34,264.75,256.68,2024.33,636.75,20,3.62
124,2565.33,438.2,109.34,5.69,5.39,264.61,255.5,2565.33,649.53,16,3.76
125,1889.33,339.19,112.27,5.78,5.39,264.61,254.44,1889.33,691.74,15,3.74
126,1858.0,342.71,110.11,5.75,5.36,267.16,253.59,1858.0,671.7,14,3.71
127,1270.33,218.18,109.16,5.8,5.37,268.82,260.07,1270.33,687.4,9,3.6
128,3283.0,538.09,114.12,5.81,5.37,272.53,264.01,3283.0,713.8,21,3.84
129,1647.33,325.03,112.68,5.85,5.38,272.65,262.38,1647.33,715.64,16,3.55
130,2588.0,313.69,119.33,5.89,5.49,276.63,262.13,2019.67,758.29,11,3.77
131,1682.67,266.9,118.93,5.91,5.68,268.49,259.05,1682.67,752.74,9,3.65
132,2160.0,390.19,118.21,5.88,5.72,264.88,254.79,2160.0,761.19,16,3.65
133,1922.67,316.09,118.56,5.87,5.72,264.49,257.54,1922.67,757.94,12,3.74
134,2056.0,367.1,118.66,5.88,5.72,264.65,257.51,2056.0,751.6,14,3.76
135,2035.33,367.68,116.09,5.88,5.69,268.55,260.36,2035.33,738.75,16,3.64
136,2221.67,392.4,115.16,5.87,5.63,271.08,261.78,2221.67,740.39,17,3.52
137,1864.67,307.46,119.05,5.71,5.56,273.73,263.05,1864.67,767.1,11,3.76
138,1489.0,255.68,112.08,5.71,5.56,278.31,265.97,1489.0,716.74,10,3.45
139,1697.67,289.01,114.33,5.62,5.51,279.95,264.65,1697.67,726.21,12,3.68
140,2056.67,361.56,111.38,5.7,5.5,280.19,263.61,2056.67,704.43,15,3.7
141,1599.67,253.26,112.04,5.69,5.5,284.44,272.25,1599.67,699.61,11,3.74
142,1791.33,330.77,108.15,5.72,5.53,284.19,274.7,1791.33,680.43,15,3.66
143,1844.33,322.51,109.63,5.67,5.49,281.47,274.31,1844.33,690.14,16,3.71
144,2082.67,348.12,109.29,5.7,5.5,283.84,274.13,2082.67,681.84,16,3.68
145,1875.33,322.36,112.79,5.73,5.5,282.9,273.27,1875.33,714.39,15,3.78
146,1517.67,286.95,108.85,5.77,5.45,276.88,268.91,1517.67,693.13,13,3.68
147,1392.33,225.3,110.57,5.68,5.44,276.64,267.59,1392.33,705.84,11,3.76
148,1620.0,343.63,108.28,5.72,5.5,277.81,268.42,1620.0,682.48,17,3.65
149,1537.0,254.27,109.64,5.82,5.56,277.61,268.07,1537.0,672.05,11,3.72
150,2065.33,351.46,110.33,5.85,5.6,277.7,267.66,2065.33,684.28,13,3.61
151,2260.0,411.15,112.65,5.93,5.64,275.65,266.66,2260.0,699.13,18,3.7
152,1584.67,296.68,112.38,5.85,5.52,274.63,261.11,1584.67,704.53,15,3.75
153,1529.0,296.15,105.7,5.66,5.43,265.96,258.34,1529.0,661.39,14,3.49
154,2029.33,329.04,113.37,5.67,5.43,268.96,257.79,2029.33,705.84,14,3.68
155,1550.67,258.2,114.55,5.7,5.38,270.92,258.36,1550.67,723.9,11,3.74
156,1953.33,342.14,112.65,5.7,5.48,264.82,256.12,1953.33,690.95,14,3.7
157,1805.0,322.72,109.46,5.62,5.4,264.07,256.0,1805.0,679.43,15,3.66
158,1789.33,307.11,111.58,5.53,5.41,266.12,257.42,1762.33,699.65,15,3.71
159,1947.67,374.68,107.93,5.59,5.39,267.56,258.23,1947.67,679.38,18,3.57
160,2056.33,381.15,112.82,5.51,5.37,272.1,262.57,2056.33,702.48,17,3.77
161,2133.67,412.83,107.96,5.5,5.34,270.56,261.45,2133.67,664.19,20,3.65
162,1722.67,308.67,105.67,5.55,5.31,269.56,261.55,1722.67,631.35,14,3.69
163,1934.0,305.55,103.83,5.41,5.25,273.3,257.41,1934.0,630.33,15,3.54
